timestamp,industry,cleaned_text
2025-01-01 03:03:11+00:00,Energy,"the most significant move of the day was the cathie wood sale of tesla inc (nasdaq: $tsla ) stock, with a total of 152,694 shares offloaded for a value of $63,736,003. this trade marked a continuation of ark's recent pattern of reducing its stake in the electric vehicle giant. she bought amd. amzn and other tech stocks instead !"
2025-01-01 05:57:47+00:00,Energy,russia halts gas exports to europe via ukraine
2025-01-01 05:58:48+00:00,Energy,moscow to end gas exports to europe via kyiv as transit deal expires europenews
2025-01-01 06:01:42+00:00,Energy,"russia halts gas exports to europe via ukraine — gazprom announced halt of gas exports via ukraine, affecting eu's energy supply as transit deal ends."
2025-01-01 06:42:37+00:00,Energy,russian gas exports to europe via ukraine halted as transit deal expires
2025-01-01 06:47:10+00:00,Energy,"russia halts gas exports to europe via ukraine, kyiv hails ‘historic event’"
2025-01-01 06:56:41+00:00,Energy,"russia halts gas exports to europe via ukraine, kyiv hails ‘historic event’"
2025-01-01 07:45:37+00:00,Energy,russian gas exports via ukraine to europe halted in the early hours of new year's day as kiev's refusal to renew the transit agreement goes into effect
2025-01-01 08:07:20+00:00,Energy,russian gas exports to europe via ukraine halted as transit deal expires
2025-01-01 08:10:17+00:00,Energy,russia halts gas exports to europe via ukraine
2025-01-01 09:01:10+00:00,Energy,russia halts gas flow to europe through ukraine — gazprom has suspended russian natural gas exports to europe following a transit deal expiry.
2025-01-01 09:03:02+00:00,Energy,reminder: the new ofgem price cap starts today. on a variable tariff? please take your meter readings today and send them by 14th january to get an accurate bill: on a fixed tariff or have smart/prepay meters? you don’t need to send them
2025-01-01 09:13:00+00:00,Energy,your 2025 resolution: stop paying gas fees to trade reya's gasless trading means predictable fees in rusd. no eth required. no surprises. just trade.
2025-01-01 09:30:42+00:00,Energy,"russia has officially halted gas exports to europe via ukraine as of january 1, 2025, following the expiration of a key transit agreement. this marks a significant shift in the european energy landscape as the eu continues to seek alternatives to russian gas. energycrisis russiaukrainewar"
2025-01-01 11:00:00+00:00,Energy,russian natural gas exports via ukraine to several european countries have been halted after kyiv refused to renew a transit deal that expired on wednesday
2025-01-01 11:19:18+00:00,Energy,"‘unfettered’ lng exports would raise u.s. gas prices by 30%, granholm warns trump via the united states should proceed cautiously as officials consider new natural gas export terminals, energy secretary jennifer granholm said tuesday, warning the incoming trump administration that “unfettered exports” of liquefied natural gas (lng) could drive up domestic prices and increase planet-warming greenhouse gas emissions."
2025-01-01 11:28:56+00:00,Energy,"russian gas exports through soviet-era pipelines via ukraine stopped on new year's day, ending decades of moscow's dominance in europe's energy markets."
2025-01-01 12:58:07+00:00,Energy,both the ukrainian government and russian energy giant gazprom announced that the company’s natural gas exports to europe via ukrainian pipelines had come to an end on wednesday after a five-year transit deal between the countries expired at midnight.
2025-01-01 13:11:45+00:00,Energy,russian natural gas exports via soviet-era pipelines running through ukraine to europe were halted in the early hours of new year's day as a transit deal expired and warring moscow and kyiv have failed to reach an agreement to continue the flows.
2025-01-01 13:12:52+00:00,Energy,now let's see will and their mates in the right wing media support putin by creating fear over gas prices or will they be honest and show how gas imports from elsewhere are quite able to replace it?
2025-01-01 14:16:07+00:00,Energy,russian gas exports via ukraine halt after decades of supply tickers of interest: $ng $eur $eurusd full story →
2025-01-01 14:27:43+00:00,Energy,russian gas exports to europe through ukraine halted after the transit deal expired on january 1. moscow and kyiv have failed to reach an agreement to continue the flows amid the ongoing war russia europe russiagassupply russiangas ukraine kyiv moscow russiaukrainewar
2025-01-01 14:52:41+00:00,Energy,the 500 richest people on earth added $10trn to their net worth in 2024. russia gas flows through ukraine halted south korea december exports climb global business report
2025-01-01 15:07:37+00:00,Energy,imports! bet they cost more than running up the gas plants.
2025-01-01 15:35:51+00:00,Energy,great thread by stephen. one addition: the end of pipeline gas exports is more painful for russia than the $5-7 billion in lost revenue might suggest. the reason is that margins were very high and there is no other buyer. that lost revenue is almost entirely lost profit.
2025-01-01 15:54:45+00:00,Energy,"russian natural gas transited via ukraine has now been stopped. if that's not bad enough, slovakia has threatened to cut off electricity exports to ukraine. eu energy policies = costly chaos."
2025-01-01 15:57:07+00:00,Energy,"the political economy of russian-western relations has changed fundamentally for the foreseeable future. many lessons to draw. here are three: 1. europe grossly overestimated its dependence on russian gas; 2. putin’s decision to cut pipeline gas exports to europe was a huge unforced error; 3. “freedom molecules” are a thing, and can wean europe off remaining, needless imports of russian lng — and bolster transatlantic unity."
