timestamp,text,industry
2025-01-01 03:03:11+00:00,"🚨🚨

The most significant move of the day was the Cathie Wood sale of Tesla Inc (NASDAQ:  $TSLA ) stock, with a total of 152,694 shares offloaded for a value of $63,736,003. This trade marked a continuation of ARK's recent pattern of reducing its stake in the electric vehicle giant.

She Bought AMD. AMZN and other tech stocks instead !! 😞🍿",Energy
2025-01-01 05:57:47+00:00,Russia halts gas exports to Europe via Ukraine https://t.co/x7Zkpk8i6y,Energy
2025-01-01 05:58:48+00:00,"Moscow to end gas exports to Europe via Kyiv as transit deal expires 

#EuropeNews https://t.co/ogpOOlQWGY",Energy
2025-01-01 06:01:42+00:00,"Russia Halts Gas Exports to Europe via Ukraine — Gazprom announced halt of gas exports via Ukraine, affecting EU's energy supply as transit deal ends.
https://t.co/EXrK4wdWU1",Energy
2025-01-01 06:42:37+00:00,Russian gas exports to Europe via Ukraine halted as transit deal expires https://t.co/4NMgKKNXQU,Energy
2025-01-01 06:47:10+00:00,"Russia halts gas exports to Europe via Ukraine, Kyiv hails ‘historic event’ https://t.co/n98fFoUlR8 https://t.co/HJU6spsfKc",Energy
2025-01-01 06:56:41+00:00,"Russia halts gas exports to Europe via Ukraine, Kyiv hails ‘historic event’
➡️ https://t.co/SDRaOlkU8X https://t.co/fXbCzpK5ZG",Energy
2025-01-01 07:45:37+00:00,Russian gas exports via Ukraine to Europe halted in the early hours of New Year's Day as Kiev's refusal to renew the transit agreement goes into effect https://t.co/odoMq2fDyS,Energy
2025-01-01 08:07:20+00:00,"Russian Gas Exports to Europe via Ukraine Halted as Transit Deal Expires 
https://t.co/yFUUU9iziJ",Energy
2025-01-01 08:10:17+00:00,Russia halts gas exports to Europe via Ukraine https://t.co/srjKx14jTc,Energy
2025-01-01 09:01:10+00:00,"Russia Halts Gas Flow to Europe Through Ukraine — Gazprom has suspended Russian natural gas exports to Europe following a transit deal expiry.
https://t.co/J8FYruL6WA",Energy
2025-01-01 09:03:02+00:00,"Reminder: The new Ofgem price cap starts today. 
 
On a variable tariff? Please take your meter readings today and send them by 14th January to get an accurate bill: https://t.co/jb8tYHwSFK
 
On a fixed tariff or have smart/prepay meters? You don’t need to send them 👌 https://t.co/lV4PmnCrmj",Energy
2025-01-01 09:13:00+00:00,"Your 2025 Resolution: Stop paying gas fees to trade 🎯

Reya's gasless trading means predictable fees in rUSD. 

No ETH required. No surprises. Just trade. ⚡️",Energy
2025-01-01 09:30:42+00:00,"Russia has officially halted gas exports to Europe via Ukraine as of January 1, 2025, following the expiration of a key transit agreement. This marks a significant shift in the European energy landscape as the EU continues to seek alternatives to Russian gas. 

#EnergyCrisis #RussiaUkraineWar",Energy
2025-01-01 11:00:00+00:00,Russian natural gas exports via Ukraine to several European countries have been halted after Kyiv refused to renew a transit deal that expired on Wednesday https://t.co/WNgro8W11g https://t.co/mAFTYVNuWL,Energy
2025-01-01 11:19:18+00:00,"‘Unfettered’ LNG Exports Would Raise U.S. Gas Prices by 30%, Granholm Warns Trump via @theenergymix https://t.co/I4ZauEHnQz

The United States should proceed cautiously as officials consider new natural gas export terminals, Energy Secretary Jennifer Granholm said Tuesday, warning the incoming Trump administration that “unfettered exports” of liquefied natural gas (LNG) could drive up domestic prices and increase planet-warming greenhouse gas emissions.",Energy
2025-01-01 11:28:56+00:00,"Russian gas exports through Soviet-era pipelines via Ukraine stopped on New Year's Day, ending decades of Moscow's dominance in Europe's energy markets. https://t.co/ANJC9mTCmY",Energy
2025-01-01 12:58:07+00:00,Both the Ukrainian government and Russian energy giant Gazprom announced that the company’s natural gas exports to Europe via Ukrainian pipelines had come to an end on Wednesday after a five-year transit deal between the countries expired at midnight. ⤵️ https://t.co/3DlBtdW65W,Energy
2025-01-01 13:11:45+00:00,"Russian natural gas exports via Soviet-era pipelines running through Ukraine to Europe were halted in the early hours of New Year's Day as a transit deal expired and warring Moscow and Kyiv have failed to reach an agreement to continue the flows.

https://t.co/Oj86Ag5Cj6 https://t.co/hR8a4IY0DB",Energy
2025-01-01 13:12:52+00:00,Now let's see will @Conservatives and their mates in the right wing  media support Putin by creating fear over gas prices or will they be honest and show how gas imports from elsewhere are quite able to replace it?,Energy
2025-01-01 14:16:07+00:00,"🔥🇷🇺🇪🇺 Russian Gas Exports via Ukraine Halt After Decades of Supply

Tickers of interest: $NG $EUR $EURUSD

Full Story →  https://t.co/I5vC11dLx0 https://t.co/oKnR4OJ2jY",Energy
2025-01-01 14:27:43+00:00,"Russian gas exports to Europe through Ukraine halted after the transit deal expired on January 1. Moscow and Kyiv have failed to reach an agreement to continue the flows amid the ongoing war

#Russia #Europe  #RussiaGasSupply #RussianGas #Ukraine #Kyiv #Moscow #RussiaUkraineWar https://t.co/5xWvd1GkbQ",Energy
2025-01-01 14:52:41+00:00,"The 500 Richest People on Earth 🌏 Added $10trn To Their Net Worth In 2024. 

Russia 🇷🇺 Gas flows through Ukraine 🇺🇦 halted 

South Korea 🇰🇷 December Exports Climb

@ARISEtv Global Business Report 👇🏽 

https://t.co/mCduPx5YTw https://t.co/gyR21Mgt65",Energy
2025-01-01 15:07:37+00:00,Imports! Bet they cost more than running up the gas plants.,Energy
2025-01-01 15:35:51+00:00,Great thread by Stephen. One addition: The end of pipeline gas exports is more painful for Russia than the $5-7 billion in lost revenue might suggest. The reason is that margins were very high and there is no other buyer. That lost revenue is almost entirely lost profit.,Energy
2025-01-01 15:54:45+00:00,"Russian natural gas transited via Ukraine has now been STOPPED.

If that's not bad enough, Slovakia has threatened to cut off electricity exports to Ukraine.

EU ENERGY POLICIES = COSTLY CHAOS. https://t.co/TApHIOMljH",Energy
2025-01-01 15:57:07+00:00,"The political economy of Russian-Western relations has changed fundamentally for the foreseeable future. Many lessons to draw. Here are three:

1. Europe grossly overestimated its dependence on Russian gas;
2. Putin’s decision to cut pipeline gas exports to Europe was a huge unforced error;
3. “Freedom molecules” are a thing, and can wean Europe off remaining, needless imports of Russian LNG — and bolster transatlantic unity.",Energy
2025-01-01 16:00:02+00:00,"I asked @GasBuddyGuy Patrick De Haan if the 25% tariffs proposed by President-elect Trump could have an impact on fuel prices in this year. But De Haan and his colleagues say tariffs may not happen — on oil, at least — because of the ""huge potential ramifications."" ⬇️ https://t.co/zUi73kiGEC",Energy
2025-01-01 16:17:35+00:00,"Ukraine’s Zelensky calls for Europe to buy more US LNG to replace Russian gas
🇺🇸 🚢 

💸 Trump previously demanded that the EU boost American oil and gas purchases to reduce the trade deficit
🤝 Zelensky looks to be appealing to Trump on this https://t.co/kghnxug1XB",Energy
2025-01-01 17:00:06+00:00,"During spice trade days, sailing ships in Far East ports used to start their voyages back to Near East with ideal wind of Halha &amp; stop for more than 2 months in Male’(an entrepôt) at the heart of world ancient economy #IndianOcean with deepest network of sailing route #Maldives https://t.co/oq7obS0bad",Energy
2025-01-01 17:52:00+00:00,"Did you know? Satellite data is changing the way people trade goods because it gives them real-time information about oil storage, crops, and supply chains.

Learn more in our Geoawesome article: https://t.co/h31t4R9xuL

#Geoawesome #SatelliteData #CommodityTrading #RemoteSensing https://t.co/a2P1nw7x0T",Energy
2025-01-01 18:00:00+00:00,"Ripple Chairman Chris Larsen meets Cambodia’s Senate President Hun Sen to discuss solar exports and renewables. 

Meanwhile, Cambodia maintains its ban on #Bitcoin while approving stablecoins. https://t.co/2TBJmrRsC1",Energy
2025-01-01 18:35:07+00:00,"Three main takeaways of Russian gas transit halt via #Ukraine 

➡️ #LNG will have an even much more important role in European gas market. As @vonderleyen suggested that EU could use US LNG imports as bargain chip to avoid Trump's tariffs, there're prospects for bullish outlook⤵️",Energy
2025-01-01 19:00:09+00:00,Happy #NewYear from the Iowa Solar Trade Association! https://t.co/NGsX7qgbkH,Energy
2025-01-01 19:36:39+00:00,"The halt of Russian gas exports via #Ukraine won’t trigger an energy crisis in Europe. While Ukraine loses $800 million in transit fees, Austria and Slovakia face gas supply challenges. However, Europe is well-prepared to handle the situation. #OOTT https://t.co/KipgvRD7QV",Energy
2025-01-01 20:22:07+00:00,"The Balabac Mouse Deer is a timid and tiny deer 🦌 one of the smallest in the 🌍. They are endangered and may be extinct in #Malaysia 🇲🇾 due to #palmoil #deforestation, the pet trade and #poaching. Support them! #Boycottpalmoil 🌴🙊🔥⛔️ #Boycott4Wildlife https://t.co/emrXHpuqgG https://t.co/hvGgJnt8UU",Energy
2025-01-01 21:44:37+00:00,Trump Effect: EU Chief Suggests Replacing Russian Gas with American https://t.co/lLMKhlKq1t via @BreitbartNews,Energy
2025-01-01 22:00:01+00:00,"The Market Mastery duo of @the_big_quench and @StockSavvyShay are ultra-bullish on $AEHR 👀📈

$RIVN $TSLA $FSLR $PLTR https://t.co/hGC9VKRLXt",Energy
2025-01-01 22:36:24+00:00,"🚨‼️BREAKING: Zelenskyy Urges U.S. to Boost Gas Supplies to Europe as Ukraine Halts Russian Gas Flow

After decades of dependency, Russian gas exports through Ukraine have been halted, marking a significant shift in European energy dynamics. Ukrainian President Volodymyr Zelenskyy has called on the United States to step up and supply more gas to Europe, filling the void left by Russia.

This decision comes amid escalating tensions, further severing Europe’s reliance on Russian energy. The U.S. now faces pressure to support its allies with increased gas exports as Europe scrambles to secure alternative sources.

Stay tuned for updates as this energy crisis unfolds.

#BreakingNews #Ukraine #Russia #EnergyCrisis #Zelenskyy #USGas #EuropeanEnergy",Energy
2025-01-02 11:11:38+00:00,"#HeadlinesAt4

* #DalalStreet: #Sensex, #Nifty gain 2% in trade; #Rupee ends at record low

* #NewOrleans truck attack: #FBI probes 'terrorism' links

* #Tesla #CyberTruck explodes outside #Trump hotel in #Vegas

* #Israel bombs #Gaza: 11 killed

* We need concrete proof: #Andhra CM on #Adani charges

* #FY24 #Auto PLI status check #MahindraAndMahindra, #TAMO to receive ₹246 cr

* #Dallewal's fast enters day 38; Top court pulls up #Punjab govt

* 2024 was #India's #hottest year in 123-yr forecasting history",Energy
2025-01-02 11:24:24+00:00,"Russian natural gas exports via Ukraine to multiple European countries have been halted after Ukraine refused to renew a transit deal that expired on New Year's Day.
Unlike in 2022, the widely expected stoppage will not impact prices for consumers in the European Union. Norway, the USA, and Qatar will replace Russian gas.

#Ukraine #Russian #Gas #Europe #cnbctv18digital",Energy
2025-01-02 11:30:03+00:00,"Trade between neighbours fosters peace. Cutting off Russian gas and building a new iron curtain may boost the arms industry and US LNG exports, but it bodes badly for Europe’s industrial and economic health, and for peace on the European continent.",Energy
